training_seed,training_steps,games,average_score,median_score,score_std,score_q25,score_q75,average_moves,corner_occupancy,snake_quality,max_tile_distribution,reach_128_pct,reach_256_pct,reach_512_pct,reach_1024_pct,reach_2048_pct
42,0,100,1855.8,1664.0,903.3378060942605,1207.0,2465.0,178.94,2.8198025386619405,0.8189803826136859,"{""32"": 3, ""64"": 22, ""128"": 55, ""256"": 19, ""512"": 1}",75.0,20.0,1.0,0.0,0.0
43,0,100,801.72,682.0,451.63505603350126,527.0,1040.0,98.43,10.180297844911316,0.7779530124939589,"{""16"": 4, ""32"": 22, ""64"": 48, ""128"": 24, ""256"": 2}",26.0,2.0,0.0,0.0,0.0
44,0,100,914.2,772.0,482.68052047755646,612.0,1188.0,107.41,4.017726187532052,0.6933391843164566,"{""16"": 2, ""32"": 17, ""64"": 50, ""128"": 27, ""256"": 4}",31.0,4.0,0.0,0.0,0.0
