method,corner_filter,evaluation_condition_changed,average_score_mean,average_score_std,average_score_count,median_score_mean,median_score_std,median_score_count,score_std_mean,score_std_std,score_std_count,reach_512_pct_mean,reach_512_pct_std,reach_512_pct_count,reach_1024_pct_mean,reach_1024_pct_std,reach_1024_pct_count,reach_2048_pct_mean,reach_2048_pct_std,reach_2048_pct_count,training_seconds_mean,training_seconds_std,training_seconds_count,training_steps_mean,training_steps_std,training_steps_count
dqn_strategy,False,True,1776.8,169.8265609379169,3,1542.6666666666667,98.67792728535261,3,988.809771536382,172.55994196583634,3,1.6666666666666667,1.5275252316519468,3,0.0,0.0,3,0.0,0.0,3,3.9417196109425277,0.020855616384065627,3,8192.0,0.0,3
dqn_strategy,True,False,1885.4133333333332,395.9102733364383,3,1587.3333333333333,345.83425702687884,3,1161.8821541131558,222.37142745469973,3,4.333333333333333,3.5118845842842465,3,0.0,0.0,3,0.0,0.0,3,3.9417196109425277,0.020855616384065627,3,8192.0,0.0,3
dqn_vanilla,False,False,1466.08,453.41412240908426,3,1260.6666666666667,270.85297364683544,3,894.8463794109483,406.41558384462485,3,1.3333333333333333,1.5275252316519468,3,0.0,0.0,3,0.0,0.0,3,3.485163625019292,0.01986891474452552,3,8192.0,0.0,3
ppo_potential_corner0,False,False,2365.4533333333334,420.04325935947764,3,2164.0,468.18372462100814,3,1244.6780556732267,303.9200627929529,3,6.0,7.000000000000001,3,0.0,0.0,3,0.0,0.0,3,1.4892242223334808,0.0821743847690712,3,8192.0,0.0,3
ppo_potential_corner1,False,True,2180.9066666666668,360.1171572326615,3,1965.3333333333333,388.77414180129483,3,1082.313756622481,217.23748666223958,3,3.0,3.0,3,0.0,0.0,3,0.0,0.0,3,1.5956709447006385,0.18577504666693428,3,8192.0,0.0,3
ppo_potential_corner1,True,False,2024.1333333333332,523.4929062875,3,1946.0,695.4135460285484,3,1019.3838258025235,143.95013412315154,3,1.6666666666666667,1.5275252316519465,3,0.0,0.0,3,0.0,0.0,3,1.5956709447006385,0.18577504666693428,3,8192.0,0.0,3
ppo_raw_corner0,False,False,2628.9866666666667,125.76683399582467,3,2436.6666666666665,386.9539162915054,3,1282.8129523139344,112.55173141817501,3,6.0,2.6457513110645907,3,0.0,0.0,3,0.0,0.0,3,1.3890449583996087,0.033353557157972544,3,8192.0,0.0,3
ppo_raw_corner1,False,True,2185.6666666666665,158.4624641147972,3,1886.0,27.784887978899608,3,1144.6777249813792,213.65039437921146,3,2.6666666666666665,2.0816659994661326,3,0.0,0.0,3,0.0,0.0,3,1.5261221389907103,0.027782867548633065,3,8192.0,0.0,3
ppo_raw_corner1,True,False,2289.173333333333,344.13695955728633,3,2106.6666666666665,601.9446264676953,3,1427.4900073698548,150.66486357841,3,5.0,1.0,3,0.3333333333333333,0.5773502691896258,3,0.0,0.0,3,1.5261221389907103,0.027782867548633065,3,8192.0,0.0,3
